x,y,z
-321000,-41195.5,6.36978e+06
137367,-40493.9,6.37639e+06
496644,-40060.2,6.35851e+06
-201308,-39792.4,6.3747e+06
158412,-39358.7,6.37591e+06
-180268,-38657.1,6.37533e+06
179454,-38223.4,6.37536e+06
-159226,-37521.8,6.3759e+06
200495,-37088.1,6.37474e+06
-497457,-36820.2,6.35846e+06
-138182,-36386.5,6.3764e+06
221534,-35952.8,6.37405e+06
-476469,-35684.9,6.36008e+06
-117136,-35251.2,6.37683e+06
-455476,-34549.6,6.36162e+06
362229,-33414.4,6.36762e+06
23702.6,-32712.8,6.37787e+06
383244,-32279.1,6.36639e+06
-314891,-32011.2,6.37014e+06
44752.3,-31577.5,6.37776e+06
404254,-31143.8,6.3651e+06
-293866,-30875.9,6.37115e+06
65801.6,-30442.2,6.37759e+06
425260,-30008.5,6.36374e+06
-272837,-29740.6,6.37209e+06
86850.1,-29306.9,6.37734e+06
-251805,-28605.3,6.37296e+06
227651,-26768.5,6.37388e+06
-111019,-26066.9,6.37698e+06
248686,-25633.2,6.3731e+06
-449375,-25365.3,6.3621e+06
-89971.1,-24931.6,6.37732e+06
269719,-24497.9,6.37225e+06
-428375,-24230,6.36355e+06
-68922.8,-23796.3,6.37758e+06
290749,-23362.6,6.37133e+06
-407371,-23094.8,6.36494e+06
-47873.6,-22661.1,6.37778e+06
-386362,-21959.5,6.36625e+06
431368,-20824.2,6.36336e+06
92969.5,-20122.6,6.37729e+06
452368,-19688.9,6.36191e+06
-245691,-19421,6.37324e+06
114017,-18987.3,6.37695e+06
473362,-18553.6,6.36038e+06
-224655,-18285.7,6.37402e+06
135063,-17852,6.37654e+06
494352,-17418.3,6.35879e+06
-203617,-17150.5,6.37473e+06
156108,-16716.8,6.37607e+06
-182577,-16015.2,6.37537e+06
177151,-15581.5,6.37552e+06
-161534,-14879.9,6.37594e+06
296863,-14178.3,6.37107e+06
-41754.4,-13476.7,6.37785e+06
317889,-13043,6.37006e+06
-380255,-12775.1,6.36664e+06
-20704.5,-12341.4,6.37795e+06
338912,-11907.7,6.36898e+06
-359240,-11639.9,6.36786e+06
345.645,-11206.2,6.37799e+06
359930,-10772.5,6.36783e+06
-338222,-10504.6,6.36902e+06
21395.8,-10070.9,6.37796e+06
380945,-9637.17,6.36661e+06
-317199,-9369.3,6.3701e+06
42445.8,-8935.59,6.37785e+06
-296173,-8234.01,6.37111e+06
183268,-6397.15,6.37536e+06
-155417,-5695.57,6.3761e+06
204309,-5261.87,6.37472e+06
-493665,-4993.99,6.35886e+06
-134372,-4560.29,6.37658e+06
225347,-4126.58,6.37402e+06
-472675,-3858.71,6.36046e+06
-113326,-3425,6.37699e+06
246383,-2991.3,6.37324e+06
-451680,-2723.42,6.36199e+06
-92278.7,-2289.72,6.37733e+06
-430680,-1588.14,6.36344e+06
387054,-452.854,6.36624e+06
48565.2,248.726,6.37782e+06
408063,682.43,6.36493e+06
-290061,950.306,6.3714e+06
69614.5,1384.01,6.37762e+06
429068,1817.71,6.36355e+06
-269031,2085.59,6.37232e+06
90663,2519.29,6.37736e+06
450068,2953,6.3621e+06
-247998,3220.87,6.37318e+06
111711,3654.58,6.37702e+06
-226962,4356.16,6.37396e+06
252498,6193.02,6.373e+06
-86159.7,6894.6,6.37741e+06
273530,7328.31,6.37213e+06
-424574,7596.18,6.36385e+06
-65111,8029.89,6.37766e+06
294559,8463.59,6.37119e+06
-403568,8731.47,6.36521e+06
-44061.6,9165.17,6.37784e+06
315585,9598.87,6.37018e+06
-382558,9866.75,6.36651e+06
-23011.6,10300.5,6.37795e+06
336608,10734.2,6.3691e+06
-361544,11002,6.36774e+06
456172,12137.3,6.36165e+06
117829,12838.9,6.3769e+06
477165,13272.6,6.36011e+06
-220846,13540.5,6.37416e+06
138875,13974.2,6.37647e+06
498153,14407.9,6.3585e+06
-199807,14675.8,6.37485e+06
159919,15109.5,6.37598e+06
-178766,15811,6.37547e+06
